14224	10633,10778,10783,11041,12035,12039,14074,14266,14267,14275,14277,14280,6936,7333,8080,8474,9017,9322
10723	10579,10732,12039,13027,14236,14272,14275,14281
2329	10768,10784,13031,14281
12033	10596,14031
14260	14218
1265	5098,8080
14039	10760
10585	10611,10768,12008,12019,12040,13004,14008,14039,14051,14207,14208,14214,14263,14266,3224,6936,7333
12025	10545,10599,10760,13004,13031,14022,14076,14202,14205,14231,14253,14275,2329
12025	10551,10742,13035,14244
11014	10569,10737,10760,12013,12040,12042,13004,14013,14029,14214,14229,14231,14239,14257,6936
12009	10640,14051,14231,14277,14278
10760	13001,14229,14238
14203	12046,14240
7232	10609,10727,14206,14229,14262,465,7824
13001	10551,12030,13039,14204,14254
13047	10566,14281
13020	10710,10784,12007,12017,13036,14020,14021,14035,14204,2513
10585	10582
10249	10616,10621,10631,11057,11063,12022,13008,14004,14010,14050,3242
14263	10573,13025,14201,14242,3321
10737	14254,2329
10719	10585,10621,10757,10760,11019,12046,14007,14039,14204,14210,14244,14246,14256
14030	10582,14281
14200	10545,10638,10760,10784,12008,12042,13001,13004,13021,14015,14051,14055,14214,14217,14224,14248,14256,14258,14267,14277,14283,9017,93033
13013	14068,14224
11050	10566,12022,13038
14273	11057,13002,13020,14218,14226,14252,14259,2525
2009	10517,10640,13025,14001,14048,14232,9802
11013	10574,10611,10620,10633,10768,12044,13021,14046,14258,6756
14221	10583,10606,10768,10794,12040,13021,13040,14009,14051,14223,14246,14254,14282,14284,14288,6584,9322
10767	14061,8549
13050	11016,11063,12015,12046,14044,14045,7845
9802	10517,10716,10726,10778,10788,11021,12029,12039,13045,14005,14025,14033,14056,14058,14202,14226,14227,14240,14241,14243,14253,14259,14281,93033
13004	10621
11019	14255
10595	10551,10573,10585,10713,10760,12009,12044,13001,13013,13030,13035,13039,14068,14209,14264,14277,2513,2594,3078,465,7343,7824,8010,9322
10577	10501,10566,10768,12030,12031,13039,13040,14050,14051,14053,14055,14061,14074,14075,14272,14274,14275,14277,14278,14279,8268,8564,8672,9623
3078	10463,10551,10585,1087,11001,11007,11054,11057,12035,14018,14049,14071,14255,14277,6685,6936
13050	10249,10581,10598,10601,10640,12013,12033,13014,14003,14038,14061,14071,14220,14239,14245
10737	10739,12042,14046,14238,8010
14030	10739
10757	10633,11014
9322	10501,10502,10505,10540,10566,10586,10621,10703,10757,11013,11034,14067,2594,5058,7343,7671,948,9802
13001	10640,10784,14062,14280
2605	10611,10788,11063,12001,12003,12046,14005,2706,8032
9072	10716,11014,11045,13021,13056,14005,14046,14069,14201
14005	14273
13030	14267
11001	10501,14261,14282
10551	10611,10756,10784,10790,12025,12035,12042,13031,14029,14035,14053,14246,14248,14264,14269,14277,6661
8549	10528,10573,10719,10733,10738,11023,12007,12044,13013,14030,14211,14212,14223,14230,14237,14248,4276,465
14005	10710,10719,10733,10788,11036,11043,11051,12027,12035,12039,13042,14004,14013,14015,14028,14031,14038,14222,14234,14268,2525,7343,9017
14246	10421,10561,10586,10760,12010,12042,13039,14022,14041,14068,14200,14203,14210,14214,14229,14231,14242,14250,14255,14260,14269,14283,3078,9322
11051	10501,13007,14048,14075
12019	10500,10573,10583,10585,10713,10727,10733,11014,12001,12040,12044,13001,13003,13004,14015,14202,14209,14210,14214,14217,14224,14229,2329,2594
10760	14213,14229,7333
12036	10605,10607,10611,10621,10738,10739,11019,11021,12030,13007,13029,14005,14053,14062,14202,14211,3078,3224,3553,4957,6685,7333,8010,9322
14217	10591,10599,11014,12046,6661,6936,9322
13029	10737,10739,10757,10760,10790,11066,12040,13023,14007,14029,14035,14071,14239,14286,6584
8268	10510,10712,10794,11051,12041,13002,13015,14003,14035
8084	10511,10760,12025,13014,13015,13029,13031,14203,14214
10599	12046
10517	10726,11019,11021,12008,12029,12046,13004,13007,13015,13045,14005,14025,14030,14033,14202,14222,14230,14240,14246,14253,14269,14275,14281,7043
